concept_id,order_index,question,optiona,optionb,optionc,optiond,answer,solution_text
362,1,"Total internal reflection occurs when","Light travels from air to glass at any angle","Light travels from denser to rarer medium beyond the critical angle","Light travels from rarer to denser medium at $90^\circ$","Incident angle is less than the critical angle","B","TIR occurs when light travels from denser to rarer medium and angle exceeds critical angle."
362,2,"If the critical angle for glass-air interface is $60^\circ$, what is the refractive index of glass?","$1.5$","$1.75$","$1.2$","$2$","C","$\mu = \frac{1}{\sin 60^\circ} = \frac{2}{\sqrt{3}} \approx 1.2$"
362,3,"Critical angle of incidence for a pair of optical media is $45^\circ$. The refractive indices of first and second media are in the ratio:","$1 : \sqrt{2}$","$\sqrt{2} : 1$","$2:1$","$1:2$","B","$\frac{n_1}{n_2} = \sqrt{2}:1$"
362,4,"The critical angle for a denser-rarer interface is $45^\circ$. The speed of light in the rarer medium is $3 \times 10^8\ m/s$. The speed of light in the denser medium is:","$3.12 \times 10^7\ m/s$","$5 \times 10^7\ m/s$","$2.12 \times 10^8\ m/s$","$\sqrt{2} \times 10^8\ m/s$","C","$v = \frac{3\times10^8}{\sqrt{2}} = 2.12\times10^8\ m/s$"
362,5,"Light is incident from glass $(n = 1.5)$ to water $(n = 1.33)$. Will total internal reflection occur if the angle of incidence is $30^\circ$?","Yes, because $30^\circ >$ critical angle","No, because glass is not optically denser","Yes, because TIR happens at any angle","No, because $30^\circ <$ critical angle","D","$30^\circ < C \Rightarrow$ no TIR"
363,1,"A light ray passes through a prism of angle $A$ and refractive index $\mu$. The angle of deviation is minimum when:","The angle of incidence is zero","The prism is placed in water","The angle of incidence equals the angle of emergence","The angle of deviation is zero","C","Minimum deviation when angle of incidence = angle of emergence."
363,2,"If the refractive index of the material of a prism is $\mu = \cot(A/2)$, where $A$ is the angle of prism, then the angle of minimum deviation is:","$\pi-2A$","$2\pi-2A$","$\pi-A$","$2\pi-A$","A","$\delta_{min} = \pi - 2A$"
363,3,"If incident angle increases slightly from minimum deviation condition, deviation:","Increases","Decreases","Remains same","First increases , then decreases","A","Deviation increases away from minimum condition."
363,4,"In a prism, refractive indices for violet and red are $1.54$ and $1.50$. Prism angle $5^\circ$. Angular separation?","$0.2^\circ$","$0.4^\circ$","$1.0^\circ$","$2.0^\circ$","A","$5^\circ \times (1.54-1.50) = 0.2^\circ$"
363,5,"If $\mu_v = 1.54$, $\mu_r = 1.50$ and $\mu = 1.52$, calculate dispersive power $\omega$:","$0.05$","$0.06$","$0.08$","$0.03$","C","$\omega \approx 0.08$"
364,1,"A lens forms a real image $30$ cm away when object at $60$ cm. Find focal length.","$10cm$","$15cm$","$20cm$","$30cm$","C","$\frac{1}{30} - \frac{1}{-60} = \frac{1}{f} \Rightarrow f=20\ cm$"
364,2,"A lens is made of glass $(\mu = 1.5)$ with $R_1 = +20$ cm, $R_2 = -20$ cm. Focal length?","$10cm$","$15cm$","$20cm$","$30cm$","C","$\frac{1}{f}=(1.5-1)\left(\frac{1}{20}-\frac{-1}{20}\right)=\frac{1}{20}$"
364,3,"Two lenses of focal lengths $f_1 = 10$ cm and $f_2 = -20$ cm in contact. Effective focal length.","$-30cm$","$20cm$","$10cm$","$-6.67cm$","B","$\frac{1}{F} = \frac{1}{10} - \frac{1}{20} = \frac{1}{20}$"
364,4,"A lens forms a virtual image twice size. Object at $10$ cm. Find focal length.","$-10cm$","$-20cm$","$-15cm$","$-5cm$","B","$\frac{1}{f}=\frac{1}{-20}-\frac{1}{-10}=\frac{1}{20} \Rightarrow f=-20\ cm$"
364,5,"A plano-convex lens of glass $(\mu = 1.5)$, radius $20$ cm. Focal length?","$10cm$","$20cm$","$30cm$","$40cm$","D","$\frac{1}{f}=(1.5-1)\frac{1}{20}=\frac{1}{40} \Rightarrow f=40\ cm$"
